Heat Sink Temp,Block Temp,Iset,Imeasure
32.2187,80.6323,1.4123,1.7944
32.2715,80.7251,1.4123,1.6574
32.1131,80.7853,1.4103,1.8239
32.2715,80.8429,1.4322,1.6977
32.0071,80.9259,1.4235,1.5446
32.2187,81.0388,1.4253,1.8266
32.1659,81.0788,1.4334,1.6789
31.954,81.1568,1.4213,1.8213
32.2187,81.2194,1.4357,1.8454
32.0071,81.3022,1.4258,1.6977
32.1131,81.3853,1.4505,1.8508
32.0601,81.443,1.4366,1.7568
32.0601,81.5284,1.4473,1.7944
32.2187,81.6037,1.4417,1.8508
32.1659,81.6942,1.4409,1.6789
32.0601,81.7895,1.4267,1.8562
32.0601,81.8523,1.4172,1.6359
31.954,81.9353,1.4246,1.8427
32.1659,81.9906,1.4227,1.6493
32.1131,82.0711,1.4397,1.8213
32.0601,82.1289,1.4508,1.8535
32.0071,82.2068,1.4588,1.7219
31.8477,82.3074,1.4654,1.7622
31.8477,82.3275,1.4776,1.8777
32.0071,82.6545,1.4697,1.5876
31.7411,82.9011,1.4474,1.8401
31.8477,82.9614,1.4699,1.8078
32.0071,83.0395,1.4425,1.6574
31.8477,83.1126,1.461,1.8857
31.954,83.2008,1.457,1.6816
31.7944,83.2739,1.4662,1.8965
31.954,83.3493,1.484,1.7192
31.9008,83.4298,1.485,1.8078
31.954,83.4855,1.4877,1.8884
31.954,83.5483,1.5084,1.644
31.7411,83.644,1.5028,1.9072
31.954,83.7121,1.494,1.8159
31.9008,83.8028,1.5114,1.7863
31.7944,83.8204,1.4973,1.9153
31.9008,83.9287,1.4959,1.8427
31.6342,84.0296,1.518,1.695
31.7411,84.0903,1.504,1.8293
32.0071,84.1658,1.4763,1.6332
31.7411,84.2439,1.4914,1.9341
31.7411,84.3323,1.4677,1.8186
31.7411,84.4129,1.4781,1.8992
31.8477,84.4686,1.4749,1.6789
31.7411,84.5392,1.5002,1.8132
31.6877,84.5947,1.5201,1.8374
31.7411,84.6906,1.5058,1.644
31.9008,84.7459,1.5329,1.9421
31.6342,84.8194,1.5307,1.8024
31.7411,84.9101,1.5408,1.9609
31.6342,84.9783,1.5176,1.8159
31.5807,85.0514,1.5173,1.6386
31.7411,85.1197,1.5357,1.9448
31.7411,85.2208,1.5285,1.8857
31.5272,85.3015,1.5276,1.7729
31.7411,85.3318,1.5393,1.9153
31.6342,85.4227,1.5268,1.8777
31.7411,85.5063,1.5505,1.9771
31.8477,85.5844,1.5369,1.9072
31.6877,85.673,1.5362,1.9448
31.7411,85.7209,1.519,1.8911
31.6877,85.8168,1.5261,1.7863
31.6342,85.8776,1.5257,1.9582
31.6342,85.9611,1.5328,1.7675
31.5272,86.0445,1.5385,1.8213
31.5272,86.1154,1.5388,1.7971
31.7411,86.1837,1.5436,1.6977
31.5807,86.2318,1.5773,2.0012
31.6342,86.3456,1.5665,1.9099
31.6342,86.4113,1.5602,1.9959
31.8477,86.4848,1.561,1.8884
31.5272,86.5556,1.5659,1.7219
31.6342,86.6468,1.5678,1.9394
31.5807,86.7149,1.549,1.926
31.6877,86.8087,1.55,1.9717
31.6342,86.8619,1.5562,1.9475
31.6342,86.9301,1.5494,1.7971
31.5807,87.034,1.5681,1.9045
31.5807,87.0821,1.5643,1.8615
31.6342,87.1734,1.5717,1.926
31.6877,87.2038,1.572,2.0147
31.4735,87.3001,1.5848,1.8481
31.6342,87.3861,1.5814,1.8857
31.6342,87.4546,1.5741,1.8562
31.6342,87.5381,1.5801,1.8911
31.5807,87.5991,1.5762,1.8481
31.6342,87.6776,1.5729,1.9556
31.5272,87.7613,1.5897,2.0388
31.5272,87.8222,1.5993,1.9582
31.5272,87.9158,1.5973,2.0335
31.5807,87.997,1.5747,1.7944
31.5272,88.0655,1.5905,1.9448
31.5272,88.1444,1.5927,2.0415
31.5807,88.2078,1.5946,1.8777
31.5272,88.2989,1.5854,2.0335
31.4735,88.3701,1.6134,2.0227
31.5807,88.4283,1.5933,1.883
31.6877,88.5122,1.6171,2.0738
31.5807,88.5679,1.6153,1.8911
31.4735,88.6541,1.6168,2.0523
31.4735,88.7253,1.6071,1.8938
31.4198,88.7992,1.6149,1.7971
31.5272,88.8699,1.6186,2.0845
31.4735,88.9514,1.6029,1.9206
31.4198,89.0581,1.6166,2.0845
31.2582,89.1217,1.5979,1.9475
31.4735,89.1623,1.605,1.738
31.4198,89.2639,1.6205,2.0657
31.5272,89.335,1.6073,1.9959
31.6342,89.4416,1.6242,2.0791
31.4198,89.4671,1.6263,2.0039
31.5272,89.5739,1.6362,1.9878
31.5272,89.645,1.6323,2.0093
31.5272,89.7139,1.6299,1.9018
31.366,89.7773,1.6397,2.0738
31.5272,89.874,1.6388,1.9556
31.5272,89.9682,1.6443,1.9556
31.3121,90.0163,1.6443,2.0899
31.4198,90.0824,1.6482,1.9582
31.3121,90.1793,1.6288,2.0415
31.366,90.2402,1.6231,2.0845
31.4198,90.3166,1.6273,1.7836
31.366,90.4031,1.6169,1.9099
31.4198,90.4822,1.6419,2.0926
31.4198,90.5253,1.6412,2.0012
31.2582,90.6069,1.6431,2.0845
31.366,90.6833,1.6496,2.0173
31.4198,90.7697,1.6622,2.0227
31.1502,90.8614,1.6546,2.0361
31.366,90.9124,1.6496,1.9287
31.3121,90.9786,1.6844,2.0872
31.2582,91.0602,1.668,1.9582
31.4198,91.1368,1.6777,2.0039
31.3121,91.2004,1.6894,1.9824
31.3121,91.2998,1.6852,1.8615
31.3121,91.3814,1.6796,2.1355
31.4198,91.4628,1.6611,1.9905
31.3121,91.5088,1.673,2.1355
31.4198,91.6005,1.6948,2.0496
31.3121,91.6873,1.661,2.0281
31.3121,91.7181,1.6711,2.0523
31.2043,91.8302,1.6677,1.9636
31.366,91.9118,1.6813,2.1597
31.366,91.978,1.6785,2.063
31.2582,92.0598,1.6777,2.1382
31.4735,92.1261,1.6686,2.0764
31.4198,92.2282,1.6621,2.0147
31.366,92.269,1.6829,2.1517
31.0962,92.3636,1.6786,1.9475
31.4735,92.4374,1.7073,2.1409
31.3121,92.4912,1.7163,2.0093
31.2582,92.5753,1.7159,2.0442
31.366,92.6264,1.7296,2.1866
31.3121,92.7209,1.7205,2.0335
31.2582,92.8258,1.7251,2.1597
31.2043,92.8946,1.723,2.1893
31.2582,92.9534,1.7271,2.0979
31.366,93.0557,1.7168,2.2
31.366,93.117,1.6982,2.0684
31.2582,93.2141,1.7094,2.0952
31.1502,93.2601,1.6912,2.1597
31.3121,93.3649,1.6606,2.0926
31.366,93.4469,1.6971,2.1517
31.3121,93.521,1.7036,2.1167
31.2043,93.6028,1.7017,2.0066
31.3121,93.659,1.7092,2.1517
31.2582,93.7203,1.7177,2.0093
31.3121,93.8124,1.7358,2.0684
31.366,93.8561,1.7447,2.0549
31.3121,93.9609,1.7484,1.9663
31.0962,94.058,1.7481,2.2242
31.2582,94.1092,1.7399,2.1194
31.4735,94.1759,1.7642,2.2457
31.0962,94.2527,1.7661,2.1167
31.4735,94.3602,1.7468,2.1409
31.1502,94.4268,1.7629,2.2349
31.1502,94.4728,1.7612,2.149
31.2043,94.5905,1.7547,2.2349
31.2582,94.6725,1.7326,2.1597
31.0962,94.7545,1.7381,2.0979
31.366,94.811,1.7591,2.1114
31.1502,94.8853,1.7708,2.0549
31.2582,94.9852,1.7724,1.9824
31.2582,95.0415,0.9212,0.9993
31.366,95.1492,0.2228,0.5104
31.366,95.1544,0.7043,1.0906
31.4735,95.1134,1.4141,1.4183
31.2043,95.067,1.4546,2.1705
31.2582,94.9955,1.85,2.0818
31.366,94.9518,1.65,1.644
31.2582,94.9032,1.8804,2.1973
31.2043,94.929,1.0775,1.8186
31.3121,94.9495,1.1629,1.5687
31.4198,94.9903,0.6862,1.7272
31.4198,94.9928,1.2293,1.8105
31.3121,94.9903,1.4261,1.6923
31.366,94.9827,1.5108,1.9072
31.366,94.9518,1.9441,1.2733
31.4198,94.9672,1.4875,1.7568
31.2582,94.9518,1.4874,1.5607
31.2043,94.9595,1.0514,2.3075
31.4198,94.9495,1.5063,1.8454
31.4198,94.97,1.5641,1.6198
31.2043,94.97,1.5594,1.7084
31.4735,95.016,0.9499,1.4156
31.3121,94.98,1.1301,1.9905
31.4735,94.9955,1.4677,1.5795
31.4198,94.9622,1.2954,2.5949
31.3121,94.9495,1.7469,1.8777
31.3121,94.9723,1.3663,1.2383
31.5272,94.9723,1.2968,1.9368
31.2582,94.98,1.5592,1.4989
31.5272,94.9903,1.3691,2.0066
31.0962,94.9903,1.5575,1.3458
31.4198,95.0005,1.3097,1.7192
31.4735,94.9595,1.8346,1.8454
31.4735,94.998,1.1359,1.5822
31.4735,94.975,1.4153,2.1758
31.4735,95.0005,0.9471,2.1705
31.5272,94.9852,1.4258,1.9663
31.2582,94.9903,1.6045,1.3297
31.4198,95.0005,1.246,1.7783
31.3121,94.9903,1.4755,1.4989
31.366,94.998,1.2131,1.8965
31.3121,94.98,1.5889,1.7675
31.4198,94.9955,1.3383,1.4237
31.4735,94.97,1.7462,1.2679
31.4735,95.0057,1.2673,1.4908
31.4198,94.9903,1.3514,1.7004
31.4198,94.9852,1.4945,1.8535
31.5272,94.9928,1.4302,1.6305
31.5272,94.9852,1.5287,1.6493
31.2582,94.9903,1.5138,1.7675
31.366,94.9955,1.5548,1.1013
31.366,95.0005,1.4737,1.8105
31.4198,95.0057,1.2517,1.6413
31.2582,95.0005,1.2535,1.8159
31.366,94.9903,1.3331,1.8803
31.4735,94.9903,1.3403,1.8401
31.4735,94.9723,1.8111,1.883
31.4735,95.0005,1.3041,1.7057
31.3121,94.9903,1.6578,1.2921
31.4198,95.0057,1.3856,1.0584
31.5272,95.0005,1.2631,2.1248
31.4198,94.9852,1.5401,1.789
31.4735,95.0237,1.1066,1.6198
31.5272,95.011,1.6407,1.4049
31.5807,95.0237,1.2523,1.1336
31.4198,94.9852,1.5919,2.0738
31.366,94.9955,1.519,1.7192
31.5807,95.011,1.2291,1.5123
31.5272,95.021,0.7975,2.2242
31.4735,95.0005,1.2683,1.464
31.5272,94.9877,1.4997,1.8427
31.4735,95.0005,1.3588,1.9368
